BI	BV	AI	AV
999.9090E-9	000.0000E+0	-999.9909E-9	-100.0000E-4
999.9119E-9	000.0000E+0	-999.9909E-9	-950.0000E-5
999.9051E-9	000.0000E+0	-999.9907E-9	-900.0000E-5
999.8922E-9	000.0000E+0	-999.9907E-9	-850.0000E-5
999.8981E-9	000.0000E+0	-999.9909E-9	-800.0000E-5
999.9002E-9	000.0000E+0	-999.9914E-9	-750.0000E-5
999.9063E-9	000.0000E+0	-999.9916E-9	-700.0000E-5
999.9094E-9	000.0000E+0	-999.9911E-9	-650.0000E-5
999.9077E-9	000.0000E+0	-999.9909E-9	-600.0000E-5
999.8987E-9	000.0000E+0	-999.9914E-9	-550.0000E-5
999.9090E-9	000.0000E+0	-999.9917E-9	-500.0000E-5
999.9130E-9	000.0000E+0	-999.9916E-9	-450.0000E-5
999.9134E-9	000.0000E+0	-999.9916E-9	-400.0000E-5
999.9068E-9	000.0000E+0	-999.9915E-9	-350.0000E-5
999.9073E-9	000.0000E+0	-999.9918E-9	-300.0000E-5
999.9102E-9	000.0000E+0	-999.9914E-9	-250.0000E-5
999.8989E-9	000.0000E+0	-999.9916E-9	-200.0000E-5
999.9059E-9	000.0000E+0	-999.9923E-9	-150.0000E-5
999.9037E-9	000.0000E+0	-999.9943E-9	-100.0000E-5
999.9035E-9	000.0000E+0	-999.9937E-9	-500.0000E-6
996.9842E-9	000.0000E+0	-997.0624E-9	000.0000E+0
965.1004E-9	000.0000E+0	-965.1824E-9	500.0000E-6
884.6716E-9	000.0000E+0	-884.7458E-9	100.0000E-5
755.8218E-9	000.0000E+0	-755.8953E-9	150.0000E-5
580.6957E-9	000.0000E+0	-580.6747E-9	200.0000E-5
369.0828E-9	000.0000E+0	-369.1346E-9	250.0000E-5
160.4440E-9	000.0000E+0	-160.4775E-9	300.0000E-5
-636.9425E-10	000.0000E+0	636.7156E-10	350.0000E-5
-333.0505E-9	000.0000E+0	333.0090E-9	400.0000E-5
-726.9924E-9	000.0000E+0	727.1140E-9	450.0000E-5
-999.9740E-9	000.0000E+0	999.9690E-9	500.0000E-5
-999.9715E-9	000.0000E+0	999.9692E-9	550.0000E-5
-999.9727E-9	000.0000E+0	999.9687E-9	600.0000E-5
-999.9605E-9	000.0000E+0	999.9690E-9	650.0000E-5
-999.9629E-9	000.0000E+0	999.9685E-9	700.0000E-5
-999.9632E-9	000.0000E+0	999.9684E-9	750.0000E-5
-999.9644E-9	000.0000E+0	999.9685E-9	800.0000E-5
-999.9670E-9	000.0000E+0	999.9690E-9	850.0000E-5
-999.9690E-9	000.0000E+0	999.9694E-9	900.0000E-5
-999.9618E-9	000.0000E+0	999.9683E-9	950.0000E-5
-999.9708E-9	000.0000E+0	999.9685E-9	100.0000E-4
