BI	BV	AI	AV
999.9094E-9	000.0000E+0	-999.9895E-9	-100.0000E-4
999.9077E-9	000.0000E+0	-999.9895E-9	-950.0000E-5
999.9034E-9	000.0000E+0	-999.9897E-9	-900.0000E-5
999.9071E-9	000.0000E+0	-999.9900E-9	-850.0000E-5
999.9087E-9	000.0000E+0	-999.9902E-9	-800.0000E-5
999.9073E-9	000.0000E+0	-999.9897E-9	-750.0000E-5
999.8962E-9	000.0000E+0	-999.9900E-9	-700.0000E-5
999.9130E-9	000.0000E+0	-999.9902E-9	-650.0000E-5
999.8946E-9	000.0000E+0	-999.9900E-9	-600.0000E-5
999.8977E-9	000.0000E+0	-999.9895E-9	-550.0000E-5
999.9106E-9	000.0000E+0	-999.9904E-9	-500.0000E-5
999.9047E-9	000.0000E+0	-999.9895E-9	-450.0000E-5
999.9087E-9	000.0000E+0	-999.9900E-9	-400.0000E-5
999.9019E-9	000.0000E+0	-999.9901E-9	-350.0000E-5
999.9092E-9	000.0000E+0	-999.9902E-9	-300.0000E-5
999.9055E-9	000.0000E+0	-999.9904E-9	-250.0000E-5
999.9081E-9	000.0000E+0	-999.9900E-9	-200.0000E-5
999.9014E-9	000.0000E+0	-999.9908E-9	-150.0000E-5
999.9052E-9	000.0000E+0	-999.9918E-9	-100.0000E-5
999.9036E-9	000.0000E+0	-999.9901E-9	-500.0000E-6
995.9047E-9	000.0000E+0	-995.9908E-9	000.0000E+0
963.6454E-9	000.0000E+0	-963.7337E-9	500.0000E-6
882.7753E-9	000.0000E+0	-882.8567E-9	100.0000E-5
753.4521E-9	000.0000E+0	-753.4720E-9	150.0000E-5
577.7254E-9	000.0000E+0	-577.7280E-9	200.0000E-5
365.8994E-9	000.0000E+0	-365.9497E-9	250.0000E-5
157.9148E-9	000.0000E+0	-157.9522E-9	300.0000E-5
-666.2344E-10	000.0000E+0	665.8176E-10	350.0000E-5
-337.2085E-9	000.0000E+0	337.3135E-9	400.0000E-5
-732.3284E-9	000.0000E+0	732.4320E-9	450.0000E-5
-999.9724E-9	000.0000E+0	999.9678E-9	500.0000E-5
-999.9716E-9	000.0000E+0	999.9677E-9	550.0000E-5
-999.9701E-9	000.0000E+0	999.9671E-9	600.0000E-5
-999.9681E-9	000.0000E+0	999.9676E-9	650.0000E-5
-999.9661E-9	000.0000E+0	999.9673E-9	700.0000E-5
-999.9766E-9	000.0000E+0	999.9668E-9	750.0000E-5
-999.9704E-9	000.0000E+0	999.9670E-9	800.0000E-5
-999.9711E-9	000.0000E+0	999.9675E-9	850.0000E-5
-999.9678E-9	000.0000E+0	999.9678E-9	900.0000E-5
-999.9701E-9	000.0000E+0	999.9676E-9	950.0000E-5
-999.9760E-9	000.0000E+0	999.9676E-9	100.0000E-4
